tos|този|acesta (m)
tăs|тази|aceasta (f)
teșcu|тежък|greu
tucilcă|точилка|vergea, făcăleț
turbă|торба|sacoșă
trăgnă|тръгна|a pleca
treabă|трябва|trebuie
tripeză|маса|masă
trușancă|работена седянка|clacă
|sac|țuval
чувал|în|u
в|acasă|u duma
у дома|a mușca|uapă
хапя|bine|ube
добре|amestecă|ubărcă
разбърка|apă|udă
вода|a jupui|udrao
одран|răsare|ugrealu
изгреяло|vlah|ulaf
влах|grajd|uleau
стабилен|melc|ulej
uluvi|улови|a prinde ceva(pescui, vâna)
umie|измия|spală
unui|онзи|acela, cel ...
unăs|онази|aceea
unes|онeзи|aceia, cei
upregnă|запрягам|a înhama
uracniță|порта|poartă
ură|дискусия|discuție
urălie|Уралия|focul aprins Duminica seara de Lăsata Secului de Brânză (Sirni Zagovezdi)
urătă|врата|ușă
upletăt|плетен|împletit
uro|хоро|horă
usceră|вчера|ieri
ușaf|восък череша компот|compot de corcodușe
uștă,uște|овца, овце|oaie, oi
ut|от|de la
utbrao|отбраха|au ales
utguhori|отгоре|de sus
utranu|рано сутринта|dis de dimineata
utidă|отида|a merge
utplane|часа на обяд|la amiază
utpregnă|отпрягам|a dezhăma
uttori|отвори|a deschide
utseet|ръми|a cerne
uvărset|вършитба|a treiera
vărim|вървим|a merge pe jos
vărzor|*|știuleți cu pănușele împletite păstrați pentru sămânță
văji|въже|funie
vărlim|хвърлям|a arunca
văscaci|възкачи|a urca (în)
vetăv|стар|vechi
vică|викa|a striga
vilcă|вилка|furcă
vii|вие|voi
vinu|вино|vin
vinășchi|винаги|mereu
zabrali se|събрали се|se adună
zadruga|разширено семейство|familia extinsa locuind in acelaș loc
zatui|затова|de aceea
zăbraif|забравен|uitat
zabraden(a)|забрадена|îmbrobodită
zăcoli|заколи|a taia un animal
zăfană|започва|începe
zătuli||a astupa
zărlog|малка върба вид|răchită
zărno|зърнени храни|graunțe
zăni|вземa|a lua
zăvădet|меси тесто|a frământa
zet|зет|ginere
zetfă|сърпа|secera
zurnicu|разсъмване|zori de zi
